phish_id,url,phish_detail_url,submission_time,verified,verification_time,online,target
7305372,https://www.etc-meisai.duzo0q6.cn/,http://www.phishtank.com/phish_detail.php?phish_id=7305372,2021-09-28T16:13:14+00:00,yes,2021-09-28T16:17:35+00:00,yes,Other
7305370,https://areueaom.cokzfd.cn/,http://www.phishtank.com/phish_detail.php?phish_id=7305370,2021-09-28T16:11:35+00:00,yes,2021-09-28T16:17:35+00:00,yes,Other
7305365,https://areueaom.gzwesun.cn/,http://www.phishtank.com/phish_detail.php?phish_id=7305365,2021-09-28T16:03:28+00:00,yes,2021-09-28T16:09:50+00:00,yes,Other
7305360,https://serviceinfo-ca.duckdns.org/acceder/mes_comptes/acceuil,http://www.phishtank.com/phish_detail.php?phish_id=7305360,2021-09-28T16:00:50+00:00,yes,2021-09-28T16:09:50+00:00,yes,Other
7305358,https://mail.serg.co.il/gy,http://www.phishtank.com/phish_detail.php?phish_id=7305358,2021-09-28T16:00:41+00:00,yes,2021-09-28T16:09:50+00:00,yes,Other
7305356,https://astrochemistry412.com/access/wells-fargo-new-RD396,http://www.phishtank.com/phish_detail.php?phish_id=7305356,2021-09-28T16:00:32+00:00,yes,2021-09-28T16:09:50+00:00,yes,Other
7305353,http://icyuzuzosoft.rw/.update/run,http://www.phishtank.com/phish_detail.php?phish_id=7305353,2021-09-28T16:00:28+00:00,yes,2021-09-28T16:09:50+00:00,yes,Other
7305354,http://icyuzuzosoft.rw/.update/run/si.html?cmd=_account-details&session=4f074582cf63d0afa129203a8059e1f5,http://www.phishtank.com/phish_detail.php?phish_id=7305354,2021-09-28T16:00:28+00:00,yes,2021-09-28T16:09:50+00:00,yes,Other
7305349,https://areueaom.fengzedaxia.cn/,http://www.phishtank.com/phish_detail.php?phish_id=7305349,2021-09-28T15:59:08+00:00,yes,2021-09-28T16:09:50+00:00,yes,Other
7305346,https://newsek20.servebeer.com/?loginid=a@abc,http://www.phishtank.com/phish_detail.php?phish_id=7305346,2021-09-28T15:55:35+00:00,yes,2021-09-28T16:09:50+00:00,yes,Other
7305339,https://mercari.xniua.com/#/,http://www.phishtank.com/phish_detail.php?phish_id=7305339,2021-09-28T15:50:39+00:00,yes,2021-09-28T16:09:50+00:00,yes,Other
7305328,http://massbicycle.top/XcbRZfVR/dbs-wa/?_t=1632842218vgu,http://www.phishtank.com/phish_detail.php?phish_id=7305328,2021-09-28T15:47:17+00:00,yes,2021-09-28T16:09:50+00:00,yes,Development Bank of Singapore
7305322,https://bookedandboarding.com/.tin/At&t,http://www.phishtank.com/phish_detail.php?phish_id=7305322,2021-09-28T15:42:19+00:00,yes,2021-09-28T15:46:51+00:00,yes,Other
7305321,https://update-myitem.com/,http://www.phishtank.com/phish_detail.php?phish_id=7305321,2021-09-28T15:42:11+00:00,yes,2021-09-28T15:46:51+00:00,yes,Other
7305318,https://attempted-redeliveries.org/,http://www.phishtank.com/phish_detail.php?phish_id=7305318,2021-09-28T15:41:15+00:00,yes,2021-09-28T15:46:51+00:00,yes,Other
7305319,https://attempted-redeliveries.org/track.php?&URI=76fba0c29fe9ccf2057cbc74d7bde106&sessionid=601edb7d47cbc7502fcc9ef92c0abf67&securessl=true,http://www.phishtank.com/phish_detail.php?phish_id=7305319,2021-09-28T15:41:15+00:00,yes,2021-09-28T15:46:51+00:00,yes,Other
7305312,http://reactimo-link.preview-domain.com/pge/pay.php,http://www.phishtank.com/phish_detail.php?phish_id=7305312,2021-09-28T15:38:17+00:00,yes,2021-09-28T15:46:51+00:00,yes,Other
7305311,https://reactimo-link.preview-domain.com/pge/pay.php,http://www.phishtank.com/phish_detail.php?phish_id=7305311,2021-09-28T15:38:11+00:00,yes,2021-09-28T15:46:51+00:00,yes,Other
7305309,https://updateacctonlining.weebly.com/,http://www.phishtank.com/phish_detail.php?phish_id=7305309,2021-09-28T15:36:58+00:00,yes,2021-09-28T15:46:51+00:00,yes,Other
7305304,https://across.serveirc.com/?checkid=a@abc,http://www.phishtank.com/phish_detail.php?phish_id=7305304,2021-09-28T15:34:38+00:00,yes,2021-09-28T15:38:32+00:00,yes,Other
7305302,https://amazom.ghzrml.rest/,http://www.phishtank.com/phish_detail.php?phish_id=7305302,2021-09-28T15:33:00+00:00,yes,2021-09-28T15:38:32+00:00,yes,Other
7305300,https://yourself.ddnsking.com/?checkid=a@abc,http://www.phishtank.com/phish_detail.php?phish_id=7305300,2021-09-28T15:31:22+00:00,yes,2021-09-28T15:38:32+00:00,yes,Other
7305296,https://gocs8top.ru.com,http://www.phishtank.com/phish_detail.php?phish_id=7305296,2021-09-28T15:28:19+00:00,yes,2021-09-28T15:38:32+00:00,yes,Steam
7305291,https://newsek4.servebeer.com/?loginid=a@abc,http://www.phishtank.com/phish_detail.php?phish_id=7305291,2021-09-28T15:19:35+00:00,yes,2021-09-28T15:28:07+00:00,yes,Other
7305288,http://tenantbitter.top/IrfXjZaG/dbs-wa/?_t=1632839405ccn,http://www.phishtank.com/phish_detail.php?phish_id=7305288,2021-09-28T15:12:01+00:00,yes,2021-09-28T15:38:32+00:00,yes,Development Bank of Singapore
7305282,http://laughalter.top/GikOeG05/dbs-wa/,http://www.phishtank.com/phish_detail.php?phish_id=7305282,2021-09-28T14:59:36+00:00,yes,2021-09-28T15:28:07+00:00,yes,Development Bank of Singapore
7305281,https://door.myvnc.com/?loginid=a@abc,http://www.phishtank.com/phish_detail.php?phish_id=7305281,2021-09-28T14:59:20+00:00,yes,2021-09-28T15:14:31+00:00,yes,Other
7305262,https://zlgtraboqk.duckdns.org/index.html,http://www.phishtank.com/phish_detail.php?phish_id=7305262,2021-09-28T14:37:23+00:00,yes,2021-09-28T14:45:09+00:00,yes,Apple
7305261,https://zlgtraboqk.duckdns.org,http://www.phishtank.com/phish_detail.php?phish_id=7305261,2021-09-28T14:37:22+00:00,yes,2021-09-28T14:45:09+00:00,yes,Apple
